Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Device Name,Notes,Details,Event Type,Location,Dining Option,Customer ID,Customer Name,Customer Reference ID,Unit,Count,GTIN,Itemization Type,Fulfillment Note,Channel,Token,Card Brand,PAN Suffix
2026-06-27,13:01:09,Eastern Time (US & Canada),None,Matcha Latte,1.0,"","","12oz, Whole Milk, Cold Foam, Strawberry",$8.00,$0.00,$8.00,$0.62,MCSBDFvo0AGL8yevyAGwmht8sxcZY,FqYgPGFgVc0NgoNJq8AlxTZjxBAZY,Square Terminal 2274,"",https://app.squareup.com/dashboard/sales/transactions/MCSBDFvo0AGL8yevyAGwmht8sxcZY/by-unit/LEKA54X3W66F5,Payment,Sunrise Social Club LLC,"",YS5AN0ZVNMSQCGP979B94FG4A8,"","",ea,1,"",Physical Good,"",Sunrise Social Club LLC,Y36H4C6V4YFFYACS3RIEFARY,Visa,1048
2026-06-27,13:01:09,Eastern Time (US & Canada),None,sticker,1.0,Regular,"","",$2.00,$0.00,$2.00,$0.14,MCSBDFvo0AGL8yevyAGwmht8sxcZY,FqYgPGFgVc0NgoNJq8AlxTZjxBAZY,Square Terminal 2274,"",https://app.squareup.com/dashboard/sales/transactions/MCSBDFvo0AGL8yevyAGwmht8sxcZY/by-unit/LEKA54X3W66F5,Payment,Sunrise Social Club LLC,"",YS5AN0ZVNMSQCGP979B94FG4A8,"","",ea,1,"",Physical Good,"",Sunrise Social Club LLC,WIKDKPJ6J74CB44HCJ6NMKSX,Visa,1048
2026-06-27,12:54:10,Eastern Time (US & Canada),None,Aaron,1.0,Regular,"",16oz,$5.00,$0.00,$5.00,$0.39,kQrfS0rWT9aRR6x5E2iAzQmurNaZY,zXH4eOjOFgVkJUgB3I5mcJLfhAUZY,Square Terminal 2274,Strawberry + Blueberry + Lemonade,https://app.squareup.com/dashboard/sales/transactions/kQrfS0rWT9aRR6x5E2iAzQmurNaZY/by-unit/LEKA54X3W66F5,Payment,Sunrise Social Club LLC,"",WRMRAGZFVNVT682DJD29W9AEWW,"","",ea,1,"",Physical Good,"",Sunrise Social Club LLC,4HDUEPNSDM7WGJ2IU4EPLHP4,Visa,4803
2026-06-27,12:54:10,Eastern Time (US & Canada),None,Cold Brew,1.0,Regular,"","Whole Milk, 16oz, Cold Foam, Blueberry",$8.00,$0.00,$8.00,$0.62,kQrfS0rWT9aRR6x5E2iAzQmurNaZY,zXH4eOjOFgVkJUgB3I5mcJLfhAUZY,Square Terminal 2274,"",https://app.squareup.com/dashboard/sales/transactions/kQrfS0rWT9aRR6x5E2iAzQmurNaZY/by-unit/LEKA54X3W66F5,Payment,Sunrise Social Club LLC,"",WRMRAGZFVNVT682DJD29W9AEWW,"","",ea,1,"",Physical Good,"",Sunrise Social Club LLC,AJEX3MBMC7CMJ6SCA7D4RJIK,Visa,4803
2026-06-27,12:53:04,Eastern Time (US & Canada),None,Cold Brew,1.0,Regular,"","Oat Milk, 16oz, Vanilla",$7.00,$0.00,$7.00,$0.54,CnZanjAuA8uEYfVHX6cOJG1HEzAZY,FmEXFPWpBrEaOp1bwjAoZuGyeKQZY,Square Terminal 2274,"",https://app.squareup.com/dashboard/sales/transactions/CnZanjAuA8uEYfVHX6cOJG1HEzAZY/by-unit/LEKA54X3W66F5,Payment,Sunrise Social Club LLC,"",JF8F4YQ3TN0APX16YM2271QW90,"","",ea,1,"",Physical Good,"",Sunrise Social Club LLC,AJEX3MBMC7CMJ6SCA7D4RJIK,American Express,4030
2026-06-27,12:42:09,Eastern Time (US & Canada),None,Matcha Latte,1.0,"","","12oz, Oat Milk, Cold Foam, Banana",$8.00,$0.00,$8.00,$0.62,gWpkQNl9PYl655ebMBYy2Z3RPkEZY,LRKSMWRWD3PPbApHiGe03t3hFDLZY,Square Terminal 2274,"",https://app.squareup.com/dashboard/sales/transactions/gWpkQNl9PYl655ebMBYy2Z3RPkEZY/by-unit/LEKA54X3W66F5,Payment,Sunrise Social Club LLC,"","","","",ea,1,"",Physical Good,"",Sunrise Social Club LLC,Y36H4C6V4YFFYACS3RIEFARY,MasterCard,0843
2026-06-27,12:42:09,Eastern Time (US & Canada),None,Ashlen,1.0,Regular,"",12oz,$7.00,$0.00,$7.00,$0.54,gWpkQNl9PYl655ebMBYy2Z3RPkEZY,LRKSMWRWD3PPbApHiGe03t3hFDLZY,Square Terminal 2274,Lemonade + Matcha + Strawberry,https://app.squareup.com/dashboard/sales/transactions/gWpkQNl9PYl655ebMBYy2Z3RPkEZY/by-unit/LEKA54X3W66F5,Payment,Sunrise Social Club LLC,"","","","",ea,1,"",Physical Good,"",Sunrise Social Club LLC,MOZ4HMBYCXPZW3OACLR5LSLG,MasterCard,0843
2026-06-27,12:34:33,Eastern Time (US & Canada),None,Matcha Latte,1.0,"","","16oz, Oat Milk, Cold Foam, Vanilla",$9.00,$0.00,$9.00,$0.70,2xDLLncZRCMfsEsLFsWiU3a6qSMZY,bHLfoWnbBo6RXWdwgF9dnnT6NuSZY,Square Terminal 2274,"",https://app.squareup.com/dashboard/sales/transactions/2xDLLncZRCMfsEsLFsWiU3a6qSMZY/by-unit/LEKA54X3W66F5,Payment,Sunrise Social Club LLC,"","","","",ea,1,"",Physical Good,"",Sunrise Social Club LLC,Y36H4C6V4YFFYACS3RIEFARY,MasterCard,9528
2026-06-27,12:34:33,Eastern Time (US & Canada),None,Matcha Latte,1.0,"","","12oz, Oat Milk, Cold Foam, Salted Maple",$8.00,$0.00,$8.00,$0.62,2xDLLncZRCMfsEsLFsWiU3a6qSMZY,bHLfoWnbBo6RXWdwgF9dnnT6NuSZY,Square Terminal 2274,"",https://app.squareup.com/dashboard/sales/transactions/2xDLLncZRCMfsEsLFsWiU3a6qSMZY/by-unit/LEKA54X3W66F5,Payment,Sunrise Social Club LLC,"","","","",ea,1,"",Physical Good,"",Sunrise Social Club LLC,Y36H4C6V4YFFYACS3RIEFARY,MasterCard,9528
2026-06-27,12:33:22,Eastern Time (US & Canada),None,Matcha Latte,1.0,"","","16oz, Oat Milk, Cold Foam, Strawberry",$9.00,$0.00,$9.00,$0.70,ahQkEHqsknEye8aOop7iOD60BgbZY,FIx5VkFYtRkxfsZYjUdCKtRITOaZY,Square Terminal 2274,"",https://app.squareup.com/dashboard/sales/transactions/ahQkEHqsknEye8aOop7iOD60BgbZY/by-unit/LEKA54X3W66F5,Payment,Sunrise Social Club LLC,"","","","",ea,1,"",Physical Good,"",Sunrise Social Club LLC,Y36H4C6V4YFFYACS3RIEFARY,MasterCard,7199
